Album,Artist,Year,Album Length,Tracks,Avg Song Length,Happiness,Energy,Innovative - Experimental,Production - Lyrics,Spotify Link
To Pimp a Butterfly,Kendrick Lamar,2015,78,16,00:04:52,4,8,6,8,https://open.spotify.com/album/7ycBtnsMtyVbbwTfJwRjSP?si=pcfxXg_qQ1qQ_Hd2iuyuQg
MM...FOOD,MF DOOM,2004,49,15,00:03:16,10,7,8,4,https://open.spotify.com/album/1UcS2nqUhxrZjrBZ3tHk2N?si=zLDzPT9QTnSsLh4GqVd3zw
Graduation,Kanye West,2007,54,14,00:03:51,10,8,4,5,https://open.spotify.com/album/4SZko61aMnmgvNhfhgTuD3?si=itCvhBjoR4SPfdS6NCUJ5Q
Donda,Kanye West,2021,108,27,00:04:00,6,7,6,5,https://open.spotify.com/album/5CnpZV3q5BcESefcB3WJmz?si=9nEK3jIQRDGL-1k3drjZmQ
KIDS SEE GHOSTS,"Kanye West,  Kid Cudi",2018,24,7,00:03:25,5,7,6,6,https://open.spotify.com/album/6pwuKxMUkNg673KETsXPUV?si=TR0OhxjDRhCfOBwAcgRxrw
The Life of Pablo,Kanye West,2016,66,20,00:03:18,6,8,7,5,https://open.spotify.com/album/7gsWAHLeT0w7es6FofOXk1?si=NUBatIVgQmaN29i96kbETw,,,,,,,,
Yeezus,Kanye West,2013,40,10,00:04:00,5,9,10,2,https://open.spotify.com/album/7D2NdGvBHIavgLhmcwhluK?si=GM5wBfO6Sf2n9jWuTPF5mw,,,,,,,,
Watch The Throne (Deluxe),"Kanye West, Jay-Z",2011,67,16,00:04:11,7,7,3,7,https://open.spotify.com/album/2P2Xwvh2xWXIZ1OWY9S9o5?si=ikrtrDPEQEWP5WztyXD2cQ,,,,,,,,
My Beautiful Dark Twisted Fantasy,Kanye West,2010,68,13,00:05:13,6,7,7,5,https://open.spotify.com/album/20r762YmB5HeofjMCiPMLv?si=mAkuS_fLS4OZ1TSNpbMgyA,,,,,,,,
808s & Heartbreak,Kanye West,2008,52,12,00:04:20,2,6,9,4,https://open.spotify.com/album/3WFTGIO6E3Xh4paEOBY9OU?si=oYVbt7YRR5mM4QLSWH2reQ,,,,,,,,
Late Registration,Kanye West,2005,70,21,00:03:20,8,6,3,7,https://open.spotify.com/album/5ll74bqtkcXlKE7wwkMq4g?si=fOkZ54jDQ6uMqlD0WElkXQ,,,,,,,,
The College Dropout,Kanye West,2004,76,21,00:03:37,7,6,7,7,https://open.spotify.com/album/4Uv86qWpGTxf7fU7lG5X6F?si=h-94wJ7vRaiuU9CJBAX0gQ,,,,,,,,
Madvillainy,"MF DOOM, Madlib",2004,46,22,00:02:05,8,5,8,5,https://open.spotify.com/album/19bQiwEKhXUBJWY6oV3KZk?si=dCk9IoIQQ7uLPNltsscuKA,,,,,,,,
Operation: Doomsday,MF DOOM,1999,137,42,00:03:15,8,6,7,3,https://open.spotify.com/album/4UG3kz6qoHtNI1glQ2wdon?si=rxmbc234QfOl9-CxXZhP-A,,,,,,,,
BORN LIKE THIS,MF DOOM,2009,54,22,00:02:27,7,6,4,4,https://open.spotify.com/album/6NhLXvyDG7QbCqFDFHh9ja?si=XGbn3m-WTEi5Y8aevwGU-Q,,,,,,,,
Take Me To Your Leader,King Geedorah,2003,42,13,00:03:13,7,7,6,5,https://open.spotify.com/album/1mrhahrlJu5JfzgeV6Cy8t?si=RcJ_xrDXQguLvSxrECHXLA,,,,,,,,
Vaudeville Villain,Viktor Vaughn,2003,57,17,00:03:21,7,7,6,6,https://open.spotify.com/album/7HPjcPD2cr8E5oHvVAmBp7?si=RbPJJ84QQWaygsgjuAYYvg,,,,,,,,
Modal Soul,Nujabes,2005,63,14,00:04:30,6,4,7,2,https://open.spotify.com/album/6nVACH6a27eOWiumAJhDWS?si=dVLNcUPhSOCQdXHg48CF_g&nd=1,,,,,,,,
